지역명,평당분양가격,월,연도
서울,18189.0,12,2013
부산,8111.0,12,2013
대구,8080.0,12,2013
인천,10204.0,12,2013
광주,6098.0,12,2013
대전,8321.0,12,2013
울산,8090.0,12,2013
경기,10855.0,12,2013
세종,7601.0,12,2013
강원,6230.0,12,2013
충북,6589.0,12,2013
충남,6365.0,12,2013
전북,6282.0,12,2013
전남,5678.0,12,2013
경북,6168.0,12,2013
경남,6473.0,12,2013
제주,7674.0,12,2013
서울,19070.5,1,2014
부산,9233.0,1,2014
대구,8317.0,1,2014
인천,10018.0,1,2014
광주,7617.0,1,2014
대전,8327.0,1,2014
울산,8153.0,1,2014
경기,10449.0,1,2014
세종,8067.0,1,2014
강원,6350.0,1,2014
충북,6593.5,1,2014
충남,6724.5,1,2014
전북,6335.0,1,2014
전남,5716.0,1,2014
경북,6555.0,1,2014
경남,6611.5,1,2014
제주,7900.0,1,2014
서울,19070.5,2,2014
부산,9233.0,2,2014
대구,8317.0,2,2014
인천,10018.0,2,2014
광주,7617.0,2,2014
대전,8327.0,2,2014
울산,8153.0,2,2014
경기,10449.0,2,2014
세종,8067.0,2,2014
강원,6350.0,2,2014
충북,6593.5,2,2014
충남,6724.5,2,2014
전북,6335.0,2,2014
전남,5716.0,2,2014
경북,6555.0,2,2014
경남,6611.5,2,2014
제주,7900.0,2,2014
서울,19070.5,3,2014
부산,9233.0,3,2014
대구,8317.0,3,2014
인천,10018.0,3,2014
광주,7617.0,3,2014
대전,8327.0,3,2014
울산,8153.0,3,2014
경기,10449.0,3,2014
세종,8067.0,3,2014
강원,6350.0,3,2014
충북,6593.5,3,2014
충남,6724.5,3,2014
전북,6335.0,3,2014
전남,5716.0,3,2014
경북,6555.0,3,2014
경남,6611.5,3,2014
제주,7900.0,3,2014
서울,19070.5,4,2014
부산,9233.0,4,2014
대구,8317.0,4,2014
인천,10018.0,4,2014
광주,7617.0,4,2014
대전,8327.0,4,2014
울산,8153.0,4,2014
경기,10449.0,4,2014
세종,8067.0,4,2014
강원,6350.0,4,2014
충북,6593.5,4,2014
충남,6724.5,4,2014
전북,6335.0,4,2014
전남,5716.0,4,2014
경북,6555.0,4,2014
경남,6611.5,4,2014
제주,7900.0,4,2014
서울,19070.5,5,2014
부산,9233.0,5,2014
대구,8317.0,5,2014
인천,10018.0,5,2014
광주,7617.0,5,2014
대전,8327.0,5,2014
울산,8153.0,5,2014
경기,10449.0,5,2014
세종,8067.0,5,2014
강원,6350.0,5,2014
충북,6593.5,5,2014
충남,6724.5,5,2014
전북,6335.0,5,2014
전남,5716.0,5,2014
경북,6555.0,5,2014
경남,6611.5,5,2014
제주,7900.0,5,2014
서울,19070.5,6,2014
부산,9233.0,6,2014
대구,8317.0,6,2014
인천,10018.0,6,2014
광주,7617.0,6,2014
대전,8327.0,6,2014
울산,8153.0,6,2014
경기,10449.0,6,2014
세종,8067.0,6,2014
강원,6350.0,6,2014
충북,6593.5,6,2014
충남,6724.5,6,2014
전북,6335.0,6,2014
전남,5716.0,6,2014
경북,6555.0,6,2014
경남,6611.5,6,2014
제주,7900.0,6,2014
서울,19070.5,7,2014
부산,9233.0,7,2014
대구,8317.0,7,2014
인천,10018.0,7,2014
광주,7617.0,7,2014
대전,8327.0,7,2014
울산,8153.0,7,2014
경기,10449.0,7,2014
세종,8067.0,7,2014
강원,6350.0,7,2014
충북,6593.5,7,2014
충남,6724.5,7,2014
전북,6335.0,7,2014
전남,5716.0,7,2014
경북,6555.0,7,2014
경남,6611.5,7,2014
제주,7900.0,7,2014
서울,19070.5,8,2014
부산,9233.0,8,2014
대구,8317.0,8,2014
인천,10018.0,8,2014
광주,7617.0,8,2014
대전,8327.0,8,2014
울산,8153.0,8,2014
경기,10449.0,8,2014
세종,8067.0,8,2014
강원,6350.0,8,2014
충북,6593.5,8,2014
충남,6724.5,8,2014
전북,6335.0,8,2014
전남,5716.0,8,2014
경북,6555.0,8,2014
경남,6611.5,8,2014
제주,7900.0,8,2014
서울,19070.5,9,2014
부산,9233.0,9,2014
대구,8317.0,9,2014
인천,10018.0,9,2014
광주,7617.0,9,2014
대전,8327.0,9,2014
울산,8153.0,9,2014
경기,10449.0,9,2014
세종,8067.0,9,2014
강원,6350.0,9,2014
충북,6593.5,9,2014
충남,6724.5,9,2014
전북,6335.0,9,2014
전남,5716.0,9,2014
경북,6555.0,9,2014
경남,6611.5,9,2014
제주,7900.0,9,2014
서울,19070.5,10,2014
부산,9233.0,10,2014
대구,8317.0,10,2014
인천,10018.0,10,2014
광주,7617.0,10,2014
대전,8327.0,10,2014
울산,8153.0,10,2014
경기,10449.0,10,2014
세종,8067.0,10,2014
강원,6350.0,10,2014
충북,6593.5,10,2014
충남,6724.5,10,2014
전북,6335.0,10,2014
전남,5716.0,10,2014
경북,6555.0,10,2014
경남,6611.5,10,2014
제주,7900.0,10,2014
서울,19070.5,11,2014
부산,9233.0,11,2014
대구,8317.0,11,2014
인천,10018.0,11,2014
광주,7617.0,11,2014
대전,8327.0,11,2014
울산,8153.0,11,2014
경기,10449.0,11,2014
세종,8067.0,11,2014
강원,6350.0,11,2014
충북,6593.5,11,2014
충남,6724.5,11,2014
전북,6335.0,11,2014
전남,5716.0,11,2014
경북,6555.0,11,2014
경남,6611.5,11,2014
제주,7900.0,11,2014
서울,19070.5,12,2014
부산,9233.0,12,2014
대구,8317.0,12,2014
인천,10018.0,12,2014
광주,7617.0,12,2014
대전,8327.0,12,2014
울산,8153.0,12,2014
경기,10449.0,12,2014
세종,8067.0,12,2014
강원,6350.0,12,2014
충북,6593.5,12,2014
충남,6724.5,12,2014
전북,6335.0,12,2014
전남,5716.0,12,2014
경북,6555.0,12,2014
경남,6611.5,12,2014
제주,7900.0,12,2014
서울,19275.3,1,2015
부산,9515.0,1,2015
대구,8542.0,1,2015
인천,10443.0,1,2015
광주,7914.0,1,2015
대전,8079.0,1,2015
울산,9192.0,1,2015
경기,10518.0,1,2015
세종,8669.0,1,2015
강원,6986.0,1,2015
충북,6705.599999999999,1,2015
충남,6975.0,1,2015
전북,6583.0,1,2015
전남,6243.0,1,2015
경북,7006.0,1,2015
경남,7665.0,1,2015
제주,7365.599999999999,1,2015
서울,19275.3,2,2015
부산,9515.0,2,2015
대구,8542.0,2,2015
인천,10443.0,2,2015
광주,7914.0,2,2015
대전,8079.0,2,2015
울산,9192.0,2,2015
경기,10518.0,2,2015
세종,8669.0,2,2015
강원,6986.0,2,2015
충북,6705.599999999999,2,2015
충남,6975.0,2,2015
전북,6583.0,2,2015
전남,6243.0,2,2015
경북,7006.0,2,2015
경남,7665.0,2,2015
제주,7365.599999999999,2,2015
서울,19275.3,3,2015
부산,9515.0,3,2015
대구,8542.0,3,2015
인천,10443.0,3,2015
광주,7914.0,3,2015
대전,8079.0,3,2015
울산,9192.0,3,2015
경기,10518.0,3,2015
세종,8669.0,3,2015
강원,6986.0,3,2015
충북,6705.599999999999,3,2015
충남,6975.0,3,2015
전북,6583.0,3,2015
전남,6243.0,3,2015
경북,7006.0,3,2015
경남,7665.0,3,2015
제주,7365.599999999999,3,2015
서울,19275.3,4,2015
부산,9515.0,4,2015
대구,8542.0,4,2015
인천,10443.0,4,2015
광주,7914.0,4,2015
대전,8079.0,4,2015
울산,9192.0,4,2015
경기,10518.0,4,2015
세종,8669.0,4,2015
강원,6986.0,4,2015
충북,6705.599999999999,4,2015
충남,6975.0,4,2015
전북,6583.0,4,2015
전남,6243.0,4,2015
경북,7006.0,4,2015
경남,7665.0,4,2015
제주,7365.599999999999,4,2015
서울,19275.3,5,2015
부산,9515.0,5,2015
대구,8542.0,5,2015
인천,10443.0,5,2015
광주,7914.0,5,2015
대전,8079.0,5,2015
울산,9192.0,5,2015
경기,10518.0,5,2015
세종,8669.0,5,2015
강원,6986.0,5,2015
충북,6705.599999999999,5,2015
충남,6975.0,5,2015
전북,6583.0,5,2015
전남,6243.0,5,2015
경북,7006.0,5,2015
경남,7665.0,5,2015
제주,7365.599999999999,5,2015
서울,19275.3,6,2015
부산,9515.0,6,2015
대구,8542.0,6,2015
인천,10443.0,6,2015
광주,7914.0,6,2015
대전,8079.0,6,2015
울산,9192.0,6,2015
경기,10518.0,6,2015
세종,8669.0,6,2015
강원,6986.0,6,2015
충북,6705.599999999999,6,2015
충남,6975.0,6,2015
전북,6583.0,6,2015
전남,6243.0,6,2015
경북,7006.0,6,2015
경남,7665.0,6,2015
제주,7365.599999999999,6,2015
서울,19275.3,7,2015
부산,9515.0,7,2015
대구,8542.0,7,2015
인천,10443.0,7,2015
광주,7914.0,7,2015
대전,8079.0,7,2015
울산,9192.0,7,2015
경기,10518.0,7,2015
세종,8669.0,7,2015
강원,6986.0,7,2015
충북,6705.599999999999,7,2015
충남,6975.0,7,2015
전북,6583.0,7,2015
전남,6243.0,7,2015
경북,7006.0,7,2015
경남,7665.0,7,2015
제주,7365.599999999999,7,2015
서울,19275.3,8,2015
부산,9515.0,8,2015
대구,8542.0,8,2015
인천,10443.0,8,2015
광주,7914.0,8,2015
대전,8079.0,8,2015
울산,9192.0,8,2015
경기,10518.0,8,2015
세종,8669.0,8,2015
강원,6986.0,8,2015
충북,6705.599999999999,8,2015
충남,6975.0,8,2015
전북,6583.0,8,2015
전남,6243.0,8,2015
경북,7006.0,8,2015
경남,7665.0,8,2015
제주,7365.599999999999,8,2015
서울,19275.3,10,2015
인천,10443.0,10,2015
경기,10518.0,10,2015
부산,9515.0,10,2015
대구,8542.0,10,2015
광주,7914.0,10,2015
대전,8079.0,10,2015
울산,9192.0,10,2015
세종,8669.0,10,2015
강원,6986.0,10,2015
충북,6705.599999999999,10,2015
충남,6975.0,10,2015
전북,6583.0,10,2015
전남,6243.0,10,2015
경북,7006.0,10,2015
경남,7665.0,10,2015
제주,7365.599999999999,10,2015
서울,19275.3,11,2015
인천,10443.0,11,2015
경기,10518.0,11,2015
부산,9515.0,11,2015
대구,8542.0,11,2015
광주,7914.0,11,2015
대전,8079.0,11,2015
울산,9192.0,11,2015
세종,8669.0,11,2015
강원,6986.0,11,2015
충북,6705.599999999999,11,2015
충남,6975.0,11,2015
전북,6583.0,11,2015
전남,6243.0,11,2015
경북,7006.0,11,2015
경남,7665.0,11,2015
제주,7365.599999999999,11,2015
서울,19275.3,12,2015
인천,10443.0,12,2015
경기,10518.0,12,2015
부산,9515.0,12,2015
대구,8542.0,12,2015
광주,7914.0,12,2015
대전,8079.0,12,2015
울산,9192.0,12,2015
세종,8669.0,12,2015
강원,6986.0,12,2015
충북,6705.599999999999,12,2015
충남,6975.0,12,2015
전북,6583.0,12,2015
전남,6243.0,12,2015
경북,7006.0,12,2015
경남,7665.0,12,2015
제주,7365.599999999999,12,2015
서울,20654.7,1,2016
인천,10531.95,1,2016
경기,11342.099999999999,1,2016
부산,10414.8,1,2016
대구,10335.6,1,2016
광주,8987.55,1,2016
대전,8380.35,1,2016
울산,10127.7,1,2016
세종,8860.5,1,2016
강원,6964.65,1,2016
충북,6801.299999999999,1,2016
충남,7377.15,1,2016
전북,6369.0,1,2016
전남,6491.099999999999,1,2016
경북,7385.4,1,2016
경남,7865.549999999999,1,2016
제주,9329.1,1,2016
서울,20654.7,2,2016
인천,10531.95,2,2016
경기,11342.099999999999,2,2016
부산,10414.8,2,2016
대구,10335.6,2,2016
광주,8987.55,2,2016
대전,8380.35,2,2016
울산,10127.7,2,2016
세종,8860.5,2,2016
강원,6964.65,2,2016
충북,6801.299999999999,2,2016
충남,7377.15,2,2016
전북,6369.0,2,2016
전남,6491.099999999999,2,2016
경북,7385.4,2,2016
경남,7865.549999999999,2,2016
제주,9329.1,2,2016
서울,20654.7,3,2016
인천,10531.95,3,2016
경기,11342.099999999999,3,2016
부산,10414.8,3,2016
대구,10335.6,3,2016
광주,8987.55,3,2016
대전,8380.35,3,2016
울산,10127.7,3,2016
세종,8860.5,3,2016
강원,6964.65,3,2016
충북,6801.299999999999,3,2016
충남,7377.15,3,2016
전북,6369.0,3,2016
전남,6491.099999999999,3,2016
경북,7385.4,3,2016
경남,7865.549999999999,3,2016
제주,9329.1,3,2016
서울,20654.7,4,2016
인천,10531.95,4,2016
경기,11342.099999999999,4,2016
부산,10414.8,4,2016
대구,10335.6,4,2016
광주,8987.55,4,2016
대전,8380.35,4,2016
울산,10127.7,4,2016
세종,8860.5,4,2016
강원,6964.65,4,2016
충북,6801.299999999999,4,2016
충남,7377.15,4,2016
전북,6369.0,4,2016
전남,6491.099999999999,4,2016
경북,7385.4,4,2016
경남,7865.549999999999,4,2016
제주,9329.1,4,2016
서울,20654.7,5,2016
인천,10531.95,5,2016
경기,11342.099999999999,5,2016
부산,10414.8,5,2016
대구,10335.6,5,2016
광주,8987.55,5,2016
대전,8380.35,5,2016
울산,10127.7,5,2016
세종,8860.5,5,2016
강원,6964.65,5,2016
충북,6801.299999999999,5,2016
충남,7377.15,5,2016
전북,6369.0,5,2016
전남,6491.099999999999,5,2016
경북,7385.4,5,2016
경남,7865.549999999999,5,2016
제주,9329.1,5,2016
서울,20654.7,6,2016
인천,10531.95,6,2016
경기,11342.099999999999,6,2016
부산,10414.8,6,2016
대구,10335.6,6,2016
광주,8987.55,6,2016
대전,8380.35,6,2016
울산,10127.7,6,2016
세종,8860.5,6,2016
강원,6964.65,6,2016
충북,6801.299999999999,6,2016
충남,7377.15,6,2016
전북,6369.0,6,2016
전남,6491.099999999999,6,2016
경북,7385.4,6,2016
경남,7865.549999999999,6,2016
제주,9329.1,6,2016
서울,20654.7,7,2016
인천,10531.95,7,2016
경기,11342.099999999999,7,2016
부산,10414.8,7,2016
대구,10335.6,7,2016
광주,8987.55,7,2016
대전,8380.35,7,2016
울산,10127.7,7,2016
세종,8860.5,7,2016
강원,6964.65,7,2016
충북,6801.299999999999,7,2016
충남,7377.15,7,2016
전북,6369.0,7,2016
전남,6491.099999999999,7,2016
경북,7385.4,7,2016
경남,7865.549999999999,7,2016
제주,9329.1,7,2016
서울,20654.7,8,2016
인천,10531.95,8,2016
경기,11342.099999999999,8,2016
부산,10414.8,8,2016
대구,10335.6,8,2016
광주,8987.55,8,2016
대전,8380.35,8,2016
울산,10127.7,8,2016
세종,8860.5,8,2016
강원,6964.65,8,2016
충북,6801.299999999999,8,2016
충남,7377.15,8,2016
전북,6369.0,8,2016
전남,6491.099999999999,8,2016
경북,7385.4,8,2016
경남,7865.549999999999,8,2016
제주,9329.1,8,2016
서울,20654.7,9,2016
인천,10531.95,9,2016
경기,11342.099999999999,9,2016
부산,10414.8,9,2016
대구,10335.6,9,2016
광주,8987.55,9,2016
대전,8380.35,9,2016
울산,10127.7,9,2016
세종,8860.5,9,2016
강원,6964.65,9,2016
충북,6801.299999999999,9,2016
충남,7377.15,9,2016
전북,6369.0,9,2016
전남,6491.099999999999,9,2016
경북,7385.4,9,2016
경남,7865.549999999999,9,2016
제주,9329.1,9,2016
서울,20654.7,10,2016
인천,10531.95,10,2016
경기,11342.099999999999,10,2016
부산,10414.8,10,2016
대구,10335.6,10,2016
광주,8987.55,10,2016
대전,8380.35,10,2016
울산,10127.7,10,2016
세종,8860.5,10,2016
강원,6964.65,10,2016
충북,6801.299999999999,10,2016
충남,7377.15,10,2016
전북,6369.0,10,2016
전남,6491.099999999999,10,2016
경북,7385.4,10,2016
경남,7865.549999999999,10,2016
제주,9329.1,10,2016
서울,20654.7,11,2016
인천,10531.95,11,2016
경기,11342.099999999999,11,2016
부산,10414.8,11,2016
대구,10335.6,11,2016
광주,8987.55,11,2016
대전,8380.35,11,2016
울산,10127.7,11,2016
세종,8860.5,11,2016
강원,6964.65,11,2016
충북,6801.299999999999,11,2016
충남,7377.15,11,2016
전북,6369.0,11,2016
전남,6491.099999999999,11,2016
경북,7385.4,11,2016
경남,7865.549999999999,11,2016
제주,9329.1,11,2016
서울,20654.7,12,2016
인천,10531.95,12,2016
경기,11342.099999999999,12,2016
부산,10414.8,12,2016
대구,10335.6,12,2016
광주,8987.55,12,2016
대전,8380.35,12,2016
울산,10127.7,12,2016
세종,8860.5,12,2016
강원,6964.65,12,2016
충북,6801.299999999999,12,2016
충남,7377.15,12,2016
전북,6369.0,12,2016
전남,6491.099999999999,12,2016
경북,7385.4,12,2016
경남,7865.549999999999,12,2016
제주,9329.1,12,2016
서울,21402.15,1,2017
인천,10875.15,1,2017
경기,11919.6,1,2017
부산,11851.95,1,2017
대구,11231.55,1,2017
광주,9551.85,1,2017
대전,9035.4,1,2017
울산,11488.95,1,2017
세종,9018.9,1,2017
강원,7057.049999999999,1,2017
충북,6765.0,1,2017
충남,7448.099999999999,1,2017
전북,7222.049999999999,1,2017
전남,7114.799999999999,1,2017
경북,7835.849999999999,1,2017
경남,8052.0,1,2017
제주,10885.05,1,2017
서울,21402.15,2,2017
인천,10875.15,2,2017
경기,11919.6,2,2017
부산,11851.95,2,2017
대구,11231.55,2,2017
광주,9551.85,2,2017
대전,9035.4,2,2017
울산,11488.95,2,2017
세종,9018.9,2,2017
강원,7057.049999999999,2,2017
충북,6765.0,2,2017
충남,7448.099999999999,2,2017
전북,7222.049999999999,2,2017
전남,7114.799999999999,2,2017
경북,7835.849999999999,2,2017
경남,8052.0,2,2017
제주,10885.05,2,2017
서울,21402.15,3,2017
인천,10875.15,3,2017
경기,11919.6,3,2017
부산,11851.95,3,2017
대구,11231.55,3,2017
광주,9551.85,3,2017
대전,9035.4,3,2017
울산,11488.95,3,2017
세종,9018.9,3,2017
강원,7057.049999999999,3,2017
충북,6765.0,3,2017
충남,7448.099999999999,3,2017
전북,7222.049999999999,3,2017
전남,7114.799999999999,3,2017
경북,7835.849999999999,3,2017
경남,8052.0,3,2017
제주,10885.05,3,2017
서울,21402.15,4,2017
인천,10875.15,4,2017
경기,11919.6,4,2017
부산,11851.95,4,2017
대구,11231.55,4,2017
광주,9551.85,4,2017
대전,9035.4,4,2017
울산,11488.95,4,2017
세종,9018.9,4,2017
강원,7057.049999999999,4,2017
충북,6765.0,4,2017
충남,7448.099999999999,4,2017
전북,7222.049999999999,4,2017
전남,7114.799999999999,4,2017
경북,7835.849999999999,4,2017
경남,8052.0,4,2017
제주,10885.05,4,2017
서울,21402.15,5,2017
인천,10875.15,5,2017
경기,11919.6,5,2017
부산,11851.95,5,2017
대구,11231.55,5,2017
광주,9551.85,5,2017
대전,9035.4,5,2017
울산,11488.95,5,2017
세종,9018.9,5,2017
강원,7057.049999999999,5,2017
충북,6765.0,5,2017
충남,7448.099999999999,5,2017
전북,7222.049999999999,5,2017
전남,7114.799999999999,5,2017
경북,7835.849999999999,5,2017
경남,8052.0,5,2017
제주,10885.05,5,2017
서울,21402.15,6,2017
인천,10875.15,6,2017
경기,11919.6,6,2017
부산,11851.95,6,2017
대구,11231.55,6,2017
광주,9551.85,6,2017
대전,9035.4,6,2017
울산,11488.95,6,2017
세종,9018.9,6,2017
강원,7057.049999999999,6,2017
충북,6765.0,6,2017
충남,7448.099999999999,6,2017
전북,7222.049999999999,6,2017
전남,7114.799999999999,6,2017
경북,7835.849999999999,6,2017
경남,8052.0,6,2017
제주,10885.05,6,2017
서울,21402.15,7,2017
인천,10875.15,7,2017
경기,11919.6,7,2017
부산,11851.95,7,2017
대구,11231.55,7,2017
광주,9551.85,7,2017
대전,9035.4,7,2017
울산,11488.95,7,2017
세종,9018.9,7,2017
강원,7057.049999999999,7,2017
충북,6765.0,7,2017
충남,7448.099999999999,7,2017
전북,7222.049999999999,7,2017
전남,7114.799999999999,7,2017
경북,7835.849999999999,7,2017
경남,8052.0,7,2017
제주,10885.05,7,2017
서울,21402.15,8,2017
인천,10875.15,8,2017
경기,11919.6,8,2017
부산,11851.95,8,2017
대구,11231.55,8,2017
광주,9551.85,8,2017
대전,9035.4,8,2017
